,x,y,xt,yt
143,401.53607177734375,416.5943908691406,402.67877197265625,418.4046630859375
144,20.76490020751953,413.4989929199219,21.28213119506836,413.0276794433594
145,367.664306640625,414.17547607421875,368.7959289550781,416.1158752441406
146,52.409061431884766,412.2231140136719,52.92880630493164,411.8833312988281
147,84.13143920898438,410.4207763671875,84.58770751953125,409.7625427246094
148,146.92503356933594,407.41851806640625,147.29627990722656,406.67559814453125
149,208.81509399414062,406.2665710449219,209.12391662597656,405.8494567871094
150,178.05125427246094,406.5130310058594,178.46681213378906,405.8645324707031
151,239.3379669189453,406.6546936035156,239.65713500976562,406.6448059082031
152,504.2668762207031,388.235107421875,506.0632019042969,389.38446044921875
153,467.5111083984375,385.4903869628906,469.56622314453125,386.97705078125
154,54.86673355102539,377.8172912597656,55.39802932739258,377.3908996582031
155,86.76980590820312,376.00604248046875,87.4417724609375,375.33160400390625
156,270.9008483886719,372.97705078125,271.98272705078125,373.4634704589844
157,240.15533447265625,371.7528381347656,241.19317626953125,371.34344482421875
158,210.14529418945312,371.6229248046875,211.09580993652344,370.73895263671875
159,25.382339477539062,347.0164794921875,26.070594787597656,346.6123046875
160,57.26930618286133,345.2637634277344,58.049922943115234,344.8335266113281
161,271.7643737792969,339.5845947265625,274.60205078125,339.5853271484375
162,241.2467498779297,337.9890441894531,243.76144409179688,336.8642578125
163,27.152145385742188,314.6561279296875,27.894472122192383,314.3908996582031
164,59.501983642578125,313.1405944824219,60.309539794921875,312.7412109375
165,29.09539031982422,283.2833251953125,29.76793670654297,283.0635070800781
